AGAF, Afutara Aerodrome
AYRG, Rumginae Airport
AYRI, Karimui Airport
AYSA, Suabi Airport
AYSE, Simberi Airport
AYSG, Sila Airport
AYSJ, Simbai Airport
AYST, Sturt Island Airport
AYSU, Suki Airport
AYTA, Tari Airport
AYTB, Tabubil Airport
AYTE, Telefomin Airport
AYTI, Tapini Airport
AYTJ, Tadji Airport
AYTK, Tokua Airport
AYTN, Tekin Airport
AYTU, Tufi Airport
AYVN, Vanimo Airport
AYWB, Wabo Airport
AYWD, Wapenamanda Airport
AYWG, Wanigela Airport
AYWK, Wewak International Airport
AYWO, Wonenara Airport
AYWS, Wasu Airport
AYWT, Woitape Airport
AYWU, Wau Airport
BGAA, Aasiaat Airport
BGBW, Narsarsuaq Airport
BGCO, Neerlerit Inaat Airport
BGDH, Danmarkshavn Landing Strip
BGGH, Godthaab / Nuuk Airport
BGJN, Ilulissat Airport
BGKK, Kulusuk Airport
BGMI, Station Nord Landing Strip
BGMQ, Maniitsoq Airport
BGMV, Mestersvig Airport
BGPT, Paamiut Airport
BGQQ, Qaanaaq Airport
BGSF, Kangerlussuaq Airport
BGSS, Sisimiut Airport
BGTL, Thule Air Base
BGUK, Upernavik Airport
BGUQ, Qaarsut Airport
BIAE, Arngerðareyri Airport
BIAL, Alftaver Airport
BIAR, Akureyri Airport
BIBA, Bakki Airport
BIBD, Bildudalur Airport
BIBF, Borgarfjorður eystri Airport
BIBI, Baeir Airport
BIBK, Bakkafjorður Airport
BIBL, Hjaltabakki Airport
BIBR, Buðardalur Airport
BIBV, Breiðdalsvik Airport
BIDA, Dagverðara Airport
BIDV, Djupivogur Airport
BIEG, Egilsstaðir Airport
BIEH, Einholtsmelar Airport
BIFF, Faskruðsfjorður Airport
BIFL, Fluðir Airport
BIFM, Fagurholsmyri Airport
BIFZ, Forsaeti Airport
BIGE, Geysir Airport
BIGF, Grundarfjorður Airport
BIGH, Gunnarsholt Airport
BIGJ, Gjogur Airport
BIGR, Grimsey Airport
BIGS, Grimsstaðir Airport
BIHE, Herðubreiðarlindir Airport
BIHI, Hveravellir Airport
BIHK, Holmavik Airport
BIHL, Hella Airport
BIHN, Hornafjordur Airport
BIHR, Hvolsvollur Airport
BIHS, Hrafnseyri Airport
BIHT, Holt Airport
BIHU, Husavik Airport
BIHV, Krokstaðarmelar Airport
BIHX, Hrauneyjarfoss Airport
BIHY, Hrisey Airport
BIHZ, Husafell Airport
BIID, Ingjaldssanður Airport
BIIS, Isafjorður Airport
BIKA, Kaldarmelar Airport
BIKE, Kerlingafjoll Airport
BIKF, Keflavik International Airport
BIKJ, Kroksfjard-Arnes Airport
BIKL, Kirkjubaejarklaustur Airport
BIKP, Kopasker Airport
BIKR, Sauðarkrokur Airport
BIMK, Mulakot Airport
BIMM, Melgerðismelar Airport
BIMN, Melanes Airport
BIMS, Tungubakkar Airport
BIND, Nyjidalur Airport
BINF, Norðfjorður Airport
BIOF, Olafsfjorður Airport
BIPA, Patreksfjordur Airport
BIRE, Reykholar Airport
BIRF, Rif Airport
BIRG, Raufarhofn Airport
BIRK, Reykjavik Airport
BIRL, Reykjahlið Airport
BIRS, Reykjanes Airport
BISA, Sanda Airport
BISF, Selfoss Airport
BISG, Steinasandur Airport
BISH, Stora-Holt Airport
BISI, Siglufjordur Airport
BISK, Skogasandur Airport
BISN, Svinafell Airport
BISP, Sprengisandur Airport
BISR, Storikroppur Airport
BISS, Sandskeið Airport
BIST, Stykkisholmur Airport
BISV, Skalavatn Airport
BITE, Þingeyri Airport
BITM, Þorsmork Airport
BITN, Thorshofn Airport
BITO, Thorisos Airport
BIVA, Vatnsnes Airport
BIVH, Varmahlid Airport
BIVI, Vik Airport
BIVM, Vestmannaeyjar Airport
BIVO, Vopnafjorður Airport
BKPR, Pristina International Airport
CBBC, Bella Bella (Campbell Island) Airport
CRML, Stoney Point (Le Cunff) Airport
CWJC, Ennadai Lake Airport
CYAB, Arctic Bay Airport
CYAC, Cat Lake Airport
CYAD, La Grande-3 Airport
CYAG, Fort Frances Municipal Airport
CYAH, La Grande-4 Airport
CYAL, Alert Bay Airport
CYAM, Sault Ste Marie Airport
CYAQ, Kasabonika Airport
CYAS, Kangirsuk Airport
CYAT, Attawapiskat Airport
CYAU, Liverpool South Shore Regional Airport
CYAV, Winnipeg / St. Andrews Airport
CYAX, Lac Du Bonnet Airport
CYAY, St. Anthony Airport
CYAZ, Tofino / Long Beach Airport
CYBA, Banff Airport
CYBB, Kugaaruk Airport
CYBC, Baie Comeau Airport
CYBD, Bella Coola Airport
CYBE, Uranium City Airport
CYBF, Bonnyville Airport
CYBG, CFB Bagotville
CYBK, Baker Lake Airport
CYBL, Campbell River Airport
CYBP, Brooks Regional
CYBQ, Tadoule Lake Airport
CYBR, Brandon Municipal Airport
CYBT, Brochet Airport
CYBU, Nipawin Airport
CYBV, Berens River Airport
CYBW, Calgary / Springbank Airport
CYBX, Lourdes de Blanc Sablon Airport
CYCA, Cartwright Airport
CYCB, Cambridge Bay Airport
CYCC, Cornwall Regional Airport
CYCD, Nanaimo Airport
CYCE, James T. Field Memorial Aerodrome
CYCG, Castlegar/West Kootenay Regional Airport
CYCH, Miramichi Airport
CYCK, Chatham Kent Airport
CYCL, Charlo Airport
CYCN, Cochrane Airport
CYCO, Kugluktuk Airport
CYCP, Blue River Airport
CYCQ, Chetwynd Airport
CYCR, Cross Lake (Charlie Sinclair Memorial) Airport
CYCS, Chesterfield Inlet Airport
CYCT, Coronation Airport
CYCW, Chilliwack Airport
CYCY, Clyde River Airport
CYCZ, Fairmont Hot Springs Airport
CYDA, Dawson City Airport
CYDB, Burwash Airport
CYDC, Princeton Airport
CYDF, Deer Lake Airport
CYDL, Dease Lake Airport
CYDM, Ross River Airport
CYDN, Dauphin Barker Airport
CYDO, Dolbeau St Felicien Airport
CYDP, Nain Airport
CYDQ, Dawson Creek Airport
CYEA, Empress Airport
CYEE, Huronia Airport
CYEG, Edmonton International Airport
CYEK, Arviat Airport
CYEL, Elliot Lake Municipal Airport
CYEM, Manitoulin East Municipal Airport
CYEN, Estevan Airport
CYER, Fort Severn Airport
CYES, Edmundston Airport
CYET, Edson Airport
CYEU, Eureka Airport
CYEV, Inuvik Mike Zubko Airport
CYEY, Amos Magny Airport
CYFA, Fort Albany Airport
CYFB, Iqaluit Airport
CYFC, Fredericton Airport
CYFD, Brantford Municipal Airport
CYFE, Forestville Airport
CYFH, Fort Hope Airport
CYFJ, La Macaza / Mont-Tremblant International Inc Airport
CYFO, Flin Flon Airport
CYFR, Fort Resolution Airport
CYFS, Fort Simpson Airport
CYFT, Makkovik Airport
CYGB, Texada Gillies Bay Airport
CYGD, Goderich Airport
CYGE, Golden Airport
CYGH, Fort Good Hope Airport
CYGK, Kingston Norman Rogers Airport
CYGL, La Grande Riviere Airport
CYGM, Gimli Industrial Park Airport
CYGO, Gods Lake Narrows Airport
CYGP, Gaspe (Michel-Pouliot) Airport
CYGQ, Geraldton Greenstone Regional Airport
CYGR, Iles-de-la-Madeleine Airport
CYGT, Igloolik Airport
CYGV, Havre St Pierre Airport
CYGW, Kuujjuarapik Airport
CYGX, Gillam Airport
CYGZ, Grise Fiord Airport
CYHA, Quaqtaq Airport
CYHB, Hudson Bay Airport
CYHD, Dryden Regional Airport
CYHE, Hope Airport
CYHF, Hearst Rene Fontaine Municipal Airport
CYHH, Nemiscau Airport
CYHI, Ulukhaktok Holman Airport
CYHK, Gjoa Haven Airport
CYHM, John C. Munro Hamilton International Airport
CYHN, Hornepayne Municipal Airport
CYHO, Hopedale Airport
CYHR, Chevery Airport
CYHS, Hanover / Saugeen Municipal Airport
CYHT, Haines Junction Airport
CYHU, Montreal / Saint-Hubert Airport
CYHY, Hay River / Merlyn Carter Airport
CYHZ, Halifax / Stanfield International Airport
CYIB, Atikokan Municipal Airport
CYID, Digby / Annapolis Regional Airport
CYIF, St Augustin Airport
CYIK, Ivujivik Airport
CYIO, Pond Inlet Airport
CYIV, Island Lake Airport
CYJA, Jasper Airport
CYJF, Fort Liard Airport
CYJM, Fort St James Airport
CYJN, St Jean Airport
CYJP, Fort Providence Airport
CYJQ, Denny Island Airport
CYJT, Stephenville Airport
CYKA, Kamloops Airport
CYKC, Collins Bay Airport
CYKD, Aklavik Airport
CYKF, Waterloo Airport
CYKG, Kangiqsujuaq (Wakeham Bay) Airport
CYKJ, Key Lake Airport
CYKL, Schefferville Airport
CYKO, Akulivik Airport
CYKQ, Waskaganish Airport
CYKX, Kirkland Lake Airport
CYKY, Kindersley Airport
CYKZ, Buttonville Municipal Airport
CYLA, Aupaluk Airport
CYLB, Lac La Biche Airport
CYLC, Kimmirut Airport
CYLD, Chapleau Airport
CYLH, Lansdowne House Airport
CYLI, Lillooet Airport
CYLJ, Meadow Lake Airport
CYLK, Lutselk'e Airport
CYLL, Lloydminster Airport
CYLQ, La Tuque Airport
CYLR, Leaf Rapids Airport
CYLS, Barrie-Orillia (Lake Simcoe Regional Airport)
CYLT, Alert Airport
CYLU, Kangiqsualujjuaq (Georges River) Airport
CYLW, Kelowna Airport
CYMA, Mayo Airport
CYME, Matane Airport
CYMG, Manitouwadge Airport
CYMH, Mary's Harbour Airport
CYMJ, Moose Jaw Air Vice Marshal C. M. McEwen Airport
CYML, Charlevoix Airport
CYMM, Fort McMurray Airport
CYMO, Moosonee Airport
CYMT, Chapais Airport
CYMU, Umiujaq Airport
CYMW, Maniwaki Airport
CYMX, Montreal International (Mirabel) Airport
CYMY, Ear Falls Airport
CYNA, Natashquan Airport
CYNC, Wemindji Airport
CYND, Ottawa / Gatineau Airport
CYNE, Norway House Airport
CYNH, Hudsons Hope Airport
CYNJ, Langley Airport
CYNL, Points North Landing Airport
CYNM, Matagami Airport
CYNN, Nejanilini Lake Airport
CYNR, Fort Mackay / Horizon Airport
CYOA, Ekati Airport
CYOC, Old Crow Airport
CYOD, CFB Cold Lake
CYOH, Oxford House Airport
CYOJ, High Level Airport
CYOO, Oshawa Airport
CYOP, Rainbow Lake Airport
CYOS, Owen Sound / Billy Bishop Regional Airport
CYOW, Ottawa Macdonald-Cartier International Airport
CYPA, Prince Albert Glass Field
CYPC, Paulatuk (Nora Aliqatchialuk Ruben) Airport
CYPD, Port Hawkesbury Airport
CYPE, Peace River Airport
CYPG, Southport Airport
CYPH, Inukjuak Airport
CYPK, Pitt Meadows Airport
CYPL, Pickle Lake Airport
CYPM, Pikangikum Airport
CYPN, Port Menier Airport
CYPO, Peawanuck Airport
CYPP, Parent Airport
CYPQ, Peterborough Airport
CYPR, Prince Rupert Airport
CYPS, Pemberton Airport
CYPT, Pelee Island Airport
CYPU, Puntzi Mountain Airport
CYPW, Powell River Airport
CYPX, Puvirnituq Airport
CYPY, Fort Chipewyan Airport
CYPZ, Burns Lake Airport
CYQA, Muskoka Airport
CYQB, Quebec Jean Lesage International Airport
CYQD, The Pas Airport
CYQF, Red Deer Regional Airport
CYQG, Windsor Airport
CYQH, Watson Lake Airport
CYQI, Yarmouth Airport
CYQK, Kenora Airport
CYQL, Lethbridge County Airport
CYQM, Greater Moncton International Airport
CYQN, Nakina Airport
CYQQ, Comox Airport
CYQR, Regina International Airport
CYQS, St Thomas Municipal Airport
CYQT, Thunder Bay Airport
CYQU, Grande Prairie Airport
CYQV, Yorkton Municipal Airport
CYQW, North Battleford Airport
CYQX, Gander International Airport
CYQY, Sydney / J.A. Douglas McCurdy Airport
CYQZ, Quesnel Airport
CYRA, Rae Lakes Airport
CYRB, Resolute Bay Airport
CYRC, Chicoutimi St Honore Airport
CYRI, Riviere-du-Loup Airport
CYRJ, Roberval Airport
CYRL, Red Lake Airport
CYRM, Rocky Mountain House Airport
CYRO, Ottawa / Rockcliffe Airport
CYRP, Ottawa / Carp Airport
CYRQ, Trois-Rivieres Airport
CYRS, Red Sucker Lake Airport
CYRT, Rankin Inlet Airport
CYRV, Revelstoke Airport
CYSA, Stratford Municipal Airport
CYSB, Sudbury Airport
CYSC, Sherbrooke Airport
CYSE, Squamish Airport
CYSF, Stony Rapids Airport
CYSG, St Georges Airport
CYSH, Smiths Falls-Montague (Russ Beach) Airport
CYSJ, Saint John Airport
CYSK, Sanikiluaq Airport
CYSL, St Leonard Airport
CYSM, Fort Smith Airport
CYSN, Niagara District Airport
CYSP, Marathon Airport
CYSQ, Atlin Airport
CYST, St. Theresa Point Airport
CYSU, Summerside Airport
CYSW, Sparwood Elk Valley Airport
CYSY, Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport
CYSZ, Ste Anne Des Monts Airport
CYTA, Pembroke Airport
CYTB, Tillsonburg Airport
CYTE, Cape Dorset Airport
CYTF, Alma Airport
CYTH, Thompson Airport
CYTL, Big Trout Lake Airport
CYTN, Trenton Airport
CYTQ, Tasiujaq Airport
CYTR, CFB Trenton
CYTS, Timmins/Victor M. Power
CYTZ, Billy Bishop Toronto City Centre Airport
CYUB, Tuktoyaktuk Airport
CYUL, Montreal / Pierre Elliott Trudeau International Airport
CYUT, Repulse Bay Airport
CYUX, Hall Beach Airport
CYUY, Rouyn Noranda Airport
CYVB, Bonaventure Airport
CYVC, La Ronge Airport
CYVD, Virden/R.J. (Bob) Andrew Field Regional Aerodrome
CYVG, Vermilion Airport
CYVK, Vernon Airport
CYVM, Qikiqtarjuaq Airport
CYVO, Val-d'Or Airport
CYVP, Kuujjuaq Airport
CYVQ, Norman Wells Airport
CYVR, Vancouver International Airport
CYVT, Buffalo Narrows Airport
CYVV, Wiarton Airport
CYVZ, Deer Lake Airport
CYWA, Petawawa Airport
CYWE, Wekweeti Airport
CYWG, Winnipeg / James Armstrong Richardson International Airport
CYWJ, Deline Airport
CYWK, Wabush Airport
CYWL, Williams Lake Airport
CYWM, Athabasca Airport
CYWP, Webequie Airport
CYWV, Wainwright Airport
CYWY, Wrigley Airport
CYXC, Cranbrook Airport
CYXD, Edmonton City Centre (Blatchford Field) Airport
CYXE, Saskatoon John G. Diefenbaker International Airport
CYXH, Medicine Hat Airport
CYXJ, Fort St John Airport
CYXK, Rimouski Airport
CYXL, Sioux Lookout Airport
CYXN, Whale Cove Airport
CYXP, Pangnirtung Airport
CYXQ, Beaver Creek Airport
CYXR, Earlton (Timiskaming Regional) Airport
CYXS, Prince George Airport
CYXT, Terrace Airport
CYXU, London Airport
CYXX, Abbotsford Airport
CYXY, Whitehorse / Erik Nielsen International Airport
CYXZ, Wawa Airport
CYYB, North Bay Airport
CYYC, Calgary International Airport
CYYD, Smithers Airport
CYYE, Fort Nelson Airport
CYYF, Penticton Airport
CYYG, Charlottetown Airport
CYYH, Taloyoak Airport
CYYJ, Victoria International Airport
CYYL, Lynn Lake Airport
CYYM, Cowley Airport
CYYN, Swift Current Airport
CYYO, Wynyard / W.B. Needham Field
CYYQ, Churchill Airport
CYYR, Goose Bay Airport
CYYT, St. John's International Airport
CYYU, Kapuskasing Airport
CYYW, Armstrong Airport
CYYY, Mont Joli Airport
CYYZ, Lester B. Pearson International Airport
CYZD, Downsview Airport
CYZE, Gore Bay Manitoulin Airport
CYZF, Yellowknife Airport
CYZG, Salluit Airport
CYZH, Slave Lake Airport
CYZP, Sandspit Airport
CYZR, Chris Hadfield Airport
CYZS, Coral Harbour Airport
CYZT, Port Hardy Airport
CYZU, Whitecourt Airport
CYZV, Sept-Iles Airport
CYZW, Teslin Airport
CYZX, CFB Greenwood
CYZY, Mackenzie Airport
CZAC, York Landing Airport
CZAM, Salmon Arm Airport
CZBA, Burlington Executive
CZBB, Vancouver / Boundary Bay Airport
CZBD, Ilford Airport
CZBF, Bathurst Airport
CZBM, Bromont (Roland Desourdy) Airport
CZEE, Kelsey Airport
CZEM, Eastmain River Airport
CZFA, Faro Airport
CZFD, Fond-Du-Lac Airport
CZFG, Pukatawagan Airport
CZFM, Fort Mcpherson Airport
CZFN, Tulita Airport
CZGF, Grand Forks Airport
CZGI, Gods River Airport
CZGR, Little Grand Rapids Airport
CZHP, High Prairie Airport
CZJG, Jenpeg Airport
CZJN, Swan River Airport
CZKE, Kashechewan Airport
CZLQ, Thicket Portage Airport
CZMD, Muskrat Dam Airport
CZML, South Cariboo Region / 108 Mile Airport
CZMN, Pikwitonei Airport
CZMT, Masset Airport
CZNG, Poplar River Airport
CZNL, Nelson Airport
CZPB, Sachigo Lake Airport
CZPC, Pincher Creek Airport
CZPO, Pinehouse Lake Airport
CZRJ, Round Lake (Weagamow Lake) Airport
CZSJ, Sandy Lake Airport
CZSN, South Indian Lake Airport
CZST, Stewart Airport
CZTA, Bloodvein River Airport
CZTM, Shamattawa Airport
CZUC, Ignace Municipal Airport
CZUM, Churchill Falls Airport
CZVL, Edmonton / Villeneuve Airport
CZWH, Lac Brochet Airport
CZWL, Wollaston Lake Airport
DAAB, Blida Airport
DAAD, Bou Saada Airport
DAAE, Soummam Airport
DAAG, Houari Boumediene Airport
DAAJ, Djanet Inedbirene Airport
DAAK, Boufarik Airport
DAAM, Telerghma Airport
DAAN, Reggane Airport
DAAP, Illizi Takhamalt Airport
DAAQ, Ain Oussera Airport
DAAS, Ain Arnat Airport
DAAT, Aguenar – Hadj Bey Akhamok Airport
DAAV, Jijel Ferhat Abbas Airport
DAAW, Bordj Omar Driss Airport
DAAY, Mecheria Airport
DAAZ, Relizane Airport
DABB, Annaba Airport
DABC, Mohamed Boudiaf International Airport
DABO, Oum el Bouaghi airport
DABS, Cheikh Larbi Tebessi Airport
DABT, Batna Airport
DAFH, Hassi R'Mel Airport
DAFI, Tsletsi Airport
DALH, Dalhousie Airport
DAOB, Bou Chekif Airport
DAOC, Ouakda Airport
DAOE, Bou Sfer Airport
DAOF, Tindouf Airport
DAOI, Ech Cheliff Airport
DAOL, Tafaraoui Airport
DAON, Zenata – Messali El Hadj Airport
DAOO, Es Senia Airport
DAOR, Bechar Boudghene Ben Ali Lotfi Airport
DAOS, Sidi Bel Abbes Airport
DAOV, Ghriss Airport
DAOY, El Bayadh Airport
DATG, In Guezzam Airport
DATM, Bordj Badji Mokhtar Airport
DAUA, Touat Cheikh Sidi Mohamed Belkebir Airport
DAUB, Biskra Airport
DAUE, El Golea Airport
DAUG, Noumerat - Moufdi Zakaria Airport
DAUH, Oued Irara Airport
DAUI, In Salah Airport
DAUK, Touggourt Sidi Madhi Airport
DAUL, Laghouat Airport
DAUO, Guemar Airport
DAUT, Timimoun Airport
DAUU, Ain el Beida Airport
DAUZ, In Amenas Airport
DBBB, Cadjehoun Airport
DBBC, Cana Airport
DBBD, Djougou Airport
DBBK, Kandi Airport
DBBN, Natitingou Airport
DBBO, Porga Airport
DBBP, Parakou Airport
DBBR, Bembereke Airport
DBBS, Save Airport
DFCA, Kaya Airport
DFCB, Barsalogho Airport
DFCC, Ouahigouya Airport
DFCD, Didyr Airport
DFCE, Batie Airport
DFCG, Kongoussi Airport
DFCI, Titao Airport
DFCJ, Djibo Airport
DFCK, Koudougou Airport
DFCL, Leo Airport
DFCM, Manga Airport
DFCP, Po Airport
DFCR, Poura Airport
DFCS, Seguenega Airport
DFCT, Tenado Airport
DFCU, Gourcy Airport
DFCY, Yako Airport
DFEA, Boulsa Airport
DFEB, Bogande Airport
DFEC, Komin-Yanga Airport
DFED, Diapaga Airport
DFEE, Dori Airport
DFEF, Fada N'gourma Airport
DFEG, Gorom-Gorom Airport
DFEK, Koupela Airport
DFEL, Kantchari Airport
DFEM, Tambao Airport
DFEO, Zorgo Airport
DFEP, Pama Airport
DFER, Arly Airport
DFES, Sebba Airport
DFET, Tenkodogo Airport
DFEY, Ouargaye Airport
DFEZ, Zabre Airport
DFFD, Ouagadougou Airport
DFOA, Dano Airport
DFOB, Banfora Airport
DFOD, Dedougou Airport
DFOF, Safane Airport
DFOG, Gaoua Airport
DFOH, Hounde Airport
DFOL, Loumana Airport
DFON, Nouna Airport
DFOO, Bobo Dioulasso Airport
DFOR, Orodara Airport
DFOS, Sideradougou Airport
DFOT, Tougan Airport
DFOU, Diebougou Airport
DFOY, Aribinda Airport
DGAA, Kotoka International Airport
DGLE, Tamale Airport
DGLN, Navrongo Airport
DGLW, Wa Airport
DGLY, Yendi Airport
DGSI, Kumasi Airport
DGSN, Sunyani Airport
DGTK, Takoradi Airport
DIAP, Port Bouet Airport
DIAU, Abengourou Airport
DIBC, Bocanda Airport
DIBI, Boundiali Airport
DIBK, Bouake Airport
DIBN, Bouna Airport
DIBU, Soko Airport
DIDB, Dabou Airport
DIDK, Dimbokro Airport
DIDL, Daloa Airport
DIFK, Ferkessedougou Airport
DIGA, Gagnoa Airport
DIGL, Guiglo Airport
DIGN, Nero-Mer Airport
DIKO, Korhogo Airport
DIMN, Man Airport
DIOD, Odienne Airport
DIOF, Ouango Fitini Airport
DISG, Seguela Airport
DISP, San Pedro Airport
DISS, Sassandra Airport
DITB, Tabou Airport
DIYO, Yamoussoukro Airport
DNAA, Nnamdi Azikiwe International Airport
DNAK, Akure Airport
DNAS, Asaba International Airport
DNBE, Benin Airport
DNBI, Bida Airport
DNCA, Margaret Ekpo International Airport
DNEN, Akanu Ibiam International Airport
DNGO, Gombe Lawanti International Airport
DNGU, Gusau Airport
DNIB, Ibadan Airport
DNIL, Ilorin International Airport
DNIM, Sam Mbakwe International Airport
DNJO, Yakubu Gowon Airport
DNKA, Kaduna Airport
DNKN, Mallam Aminu International Airport
DNMA, Maiduguri International Airport
DNMK, Makurdi Airport
DNMM, Murtala Muhammed International Airport
DNMN, Minna Airport
DNOS, Oshogbo Airport
DNPO, Port Harcourt International Airport
DNSO, Sadiq Abubakar III International Airport
DNTZ, Enfidha Zine El Abidine Ben Ali International Airport
DNYO, Yola Airport
DNZA, Zaria Airport
DRRA, Tessaoua Airport
DRRB, Birni-N'Konni Airport
DRRC, Dogondoutchi Airport
DRRD, Dosso Airport
DRRE, Tera Airport
DRRG, Gaya Airport
DRRI, Bilma Airport
DRRL, Tillabery Airport
DRRM, Maradi Airport
DRRN, Diori Hamani International Airport
DRRP, La Tapoa Airport
DRRT, Tahoua Airport
DRRU, Ouallam Airport
DRZA, Mano Dayak International Airport
DRZD, Dirkou Airport
DRZF, Diffa Airport
DRZG, Goure Airport
DRZI, Iferouane Airport
DRZL, Arlit Airport
DRZM, Maine-Soroa Airport
DRZN, N'Guigmi Airport
DRZR, Zinder Airport
DRZT, Tanout Airport
DTKA, Tabarka 7 Novembre Airport
DTMB, Monastir Habib Bourguiba International Airport
DTTA, Tunis Carthage International Airport
DTTB, Sidi Ahmed Air Base
DTTD, Remada Air Base
DTTF, Gafsa Ksar International Airport
DTTG, Gabes Matmata International Airport
DTTI, Borj El Amri Airport
DTTJ, Djerba Zarzis International Airport
DTTR, El Borma Airport
DTTX, Sfax Thyna International Airport
DTTZ, Tozeur Nefta International Airport
DXAK, Akpaka Airport
DXDP, Djangou Airport
DXKP, Kolokope Airport
DXMG, Sansanne-Mango Airport
DXNG, Niamtougou International Airport
DXSK, Sokode Airport
DXXX, Lome-Tokoin Airport
EBAM, Amougies Airport
EBAR, Sterpenich Airport
EBAV, Avernas-le-Bauduin Airport
EBAW, Antwerp International Airport (Deurne)
EBBE, Beauvechain Air Base
EBBG, Michamps Airport
EBBL, Kleine Brogel Air Base
EBBN, Bullingen Airport
EBBO, Mogimont Airport
EBBR, Brussels Airport
EBBT, Brasschaat Air Base
EBBW, Wonck Airport
EBBX, Jehonville Air Base
EBBY, Baisy-Thy Airport
EBBZ, Buzet Airstrip
EBCF, Cerfontaine Nouv Airport
EBCI, Brussels South Charleroi Airport
EBCR, Ronvaux Airport
EBCS, Saint-Remy Airport
EBCV, Chievres Air Base
EBDT, Schaffen Airport
EBFN, Koksijde Air Base
EBFS, Florennes Air Base
EBGB, Grimbergen Airport
EBGG, Overboelare Airport
EBHE, Couthuin Airport
EBHN, Hoevenen Airport
EBIS, Ath/Isieres Airport
EBKH, Balekeiheuvel Airport
EBKT, Wevelgem Airport
EBLB, Elsenborn Airport
EBLE, Beverlo Air Base
EBLG, Liege Airport
EBLI, Lierneux Airport
EBLN, Liernu Airport
EBMG, Matagne-la-Petite Airport
EBML, Maillen Airport
EBMO, Moorsele Airport
EBNE, Neerpelt Airport
EBNM, Suarlee Airport
EBNO, Outer Airport
EBOR, Orchimont Airport
EBOS, Ostend-Bruges International Airport
EBSG, Saint-Ghislain Airport
EBSH, St Hubert Airport
EBSL, Zutendaal Air Base
EBSP, Spa (la Sauveniere) Airport
EBST, Sint Truiden Airport
EBSU, Saint Hubert Air Base
EBTN, Goetsenhoven Air Base
EBTX, Theux (Verviers) Airport
EBTY, Tournai/Maubray Airport
EBUL, Ursel Air Base
EBWE, Weelde Air Base
EBZH, Hasselt Airport
EBZR, Oostmalle Air Base
EBZU, Zuienkerke Airport
EBZW, Genk Zwartberg Airport
EDAB, Bautzen Airport
EDAC, Altenburg-Nobitz Airport
EDAD, Dessau Airport
EDAE, Eisenhuttenstadt Airport
EDAG, Grosruckerswalde Airport
EDAH, Heringsdorf Airport
EDAI, Segeletz Airport
